,datetime_of_scrape,start_date,end_date,length_of_stay,itinerary,price,duration_there,duration_back,total_duration,n_stops_there,n_stops_back,total_stops,airline_there,airline_back,agency
108,2023-08-06 1819,2023-10-01,2023-10-16,15,"13542-2310011405--31939-1-9601-2310030205|9601-2310160855--32672,-31734-2-13542-2310171610",768.388,31.5,35.75,67.25,1,2,3,British Airways,Qatar Airways,lastminute.com
114,2023-08-06 1819,2023-10-01,2023-10-16,15,"13542-2310011405--31939-1-9601-2310030205|9601-2310162310--32672,-31734-2-13542-2310181000",768.388,31.5,39.333333333333336,70.83333333333334,1,2,3,British Airways,Qatar Airways,lastminute.com
112,2023-08-06 1819,2023-10-01,2023-10-16,15,"13542-2310011405--31939-1-9601-2310030205|9601-2310161525--31435,-31939-2-13542-2310180620",688.824,31.5,43.416666666666664,74.91666666666666,1,2,3,British Airways,Qatar Airways,travelup
128,2023-08-06 1819,2023-10-01,2023-10-16,15,"13542-2310011405--32480,-31939-1-9601-2310030205|9601-2310162310--32672,-31435-2-13542-2310181755",959.34,31.5,47.25,78.75,1,2,3,British Airways,Qatar Airways,Expedia
109,2023-08-06 1819,2023-10-01,2023-10-16,15,"13542-2310011405--31939-1-9601-2310030205|9601-2310161015--31435,-31939-2-13542-2310180620",574.4,31.5,48.583333333333336,80.08333333333334,1,2,3,British Airways,Qatar Airways,travelup
205,2023-08-06 1819,2023-10-01,2023-10-16,15,13542-2310012000--32672-2-9601-2310021525|9601-2310161320--32672-0-13542-2310161755,682.96,14.916666666666666,9.083333333333334,24.0,2,0,2,Air India,Air India,Flightcatchers
195,2023-08-06 1819,2023-10-01,2023-10-16,15,"13542-2310011800--32356,-31435-2-9601-2310021450|9601-2310161320--32672-0-13542-2310161755",1004.598,16.333333333333332,9.083333333333334,25.416666666666664,2,0,2,easyJet,Vistara,Mytrip
87,2023-08-06 1819,2023-10-01,2023-10-16,15,"13542-2310011115--32090,-32348,-31826-2-9601-2310020815|9601-2310161320--32672-0-13542-2310161755",2500.398,16.5,9.083333333333334,25.583333333333336,2,0,2,Lufthansa,SpiceJet,Booking.com
63,2023-08-06 1819,2023-10-01,2023-10-16,15,"13542-2310011005--32348,-32672-2-9601-2310020820|9601-2310161320--32672-0-13542-2310161755",1265.398,17.75,9.083333333333334,26.833333333333336,2,0,2,Emirates,Air India,Booking.com
54,2023-08-06 1819,2023-10-01,2023-10-16,15,"13542-2310011005--32348,-31435-2-9601-2310020940|9601-2310161320--32672-0-13542-2310161755",1051.57,19.083333333333332,9.083333333333334,28.166666666666664,2,0,2,Emirates,Vistara,Expedia
29,2023-08-06 1819,2023-10-01,2023-10-16,15,"13542-2310010900--31939,-32213-2-9601-2310020850|9601-2310161320--32672-0-13542-2310161755",1021.198,19.333333333333332,9.083333333333334,28.416666666666664,2,0,2,Qatar Airways,IndiGo,Mytrip
147,2023-08-06 1819,2023-10-01,2023-10-16,15,"13542-2310011435--32348,-31435-2-9601-2310021450|9601-2310161320--32672-0-13542-2310161755",1051.57,19.75,9.083333333333334,28.833333333333336,2,0,2,Emirates,Vistara,Expedia
25,2023-08-06 1819,2023-10-01,2023-10-16,15,"13542-2310010900--31939,-31435-2-9601-2310020940|9601-2310161320--32672-0-13542-2310161755",973.994,20.166666666666668,9.083333333333334,29.25,2,0,2,Qatar Airways,Vistara,lastminute.com
92,2023-08-06 1819,2023-10-01,2023-10-16,15,"13542-2310011115--32090,-32672-2-9601-2310021200|9601-2310161320--32672-0-13542-2310161755",960.426,20.25,9.083333333333334,29.333333333333336,2,0,2,Lufthansa,Air India,travelup
167,2023-08-06 1819,2023-10-01,2023-10-16,15,"13542-2310011435--32348,-32672-2-9601-2310021525|9601-2310161320--32672-0-13542-2310161755",1138.998,20.333333333333332,9.083333333333334,29.416666666666664,2,0,2,Emirates,Air India,Booking.com
70,2023-08-06 1819,2023-10-01,2023-10-16,15,"13542-2310011005--32348,-32672-2-9601-2310021200|9601-2310161320--32672-0-13542-2310161755",1139.198,21.416666666666668,9.083333333333334,30.5,2,0,2,Emirates,Air India,Booking.com
96,2023-08-06 1819,2023-10-01,2023-10-16,15,13542-2310011115--32672-2-9601-2310021450|9601-2310161320--32672-0-13542-2310161755,977.152,23.083333333333332,9.083333333333334,32.166666666666664,2,0,2,Air India,Air India,SkyWings
208,2023-08-06 1819,2023-10-01,2023-10-16,15,"13542-2310012045--32222,-31939-2-9601-2310030205|9601-2310161320--32672-0-13542-2310161755",1425.998,24.833333333333332,9.083333333333334,33.916666666666664,2,0,2,Iberia Express,Qatar Airways,Booking.com
224,2023-08-06 1819,2023-10-01,2023-10-16,15,"13542-2310012145--32348,-31435-2-9601-2310030940|9601-2310161320--32672-0-13542-2310161755",1051.57,31.416666666666668,9.083333333333334,40.5,2,0,2,Emirates,Vistara,Expedia
185,2023-08-06 1819,2023-10-01,2023-10-16,15,"13542-2310011700--31734,-32672-2-9601-2310031225|9601-2310161320--32672-0-13542-2310161755",1036.528,38.916666666666664,9.083333333333334,48.0,2,0,2,Turkish Airlines,Air India,lastminute.com
86,2023-08-06 1819,2023-10-01,2023-10-16,15,"13542-2310011115--32090,-32348,-31826-2-9601-2310020815|9601-2310160915--31826,-32348-1-13542-2310161945",3151.198,16.5,15.0,31.5,2,1,3,Lufthansa,SpiceJet,Booking.com
62,2023-08-06 1819,2023-10-01,2023-10-16,15,"13542-2310011005--32348,-32672-2-9601-2310020820|9601-2310160915--31826,-32348-1-13542-2310161945",1916.598,17.75,15.0,32.75,2,1,3,Emirates,Air India,Booking.com
52,2023-08-06 1819,2023-10-01,2023-10-16,15,"13542-2310011005--32348,-31435-2-9601-2310020940|9601-2310160915--31826,-32348-1-13542-2310161945",1300.07,19.083333333333332,15.0,34.08333333333333,2,1,3,Emirates,Vistara,Carlton Leisure
47,2023-08-06 1819,2023-10-01,2023-10-16,15,"13542-2310011005--32348,-31435-2-9601-2310020940|9601-2310160335--31939,-32480-1-13542-2310170620",992.25,19.083333333333332,31.25,50.33333333333333,2,1,3,Emirates,Vistara,Expedia
48,2023-08-06 1819,2023-10-01,2023-10-16,15,"13542-2310011005--32348,-31435-2-9601-2310020940|9601-2310160335--31939-1-13542-2310170645",1035.72,19.083333333333332,31.666666666666668,50.75,2,1,3,Emirates,Vistara,Expedia
145,2023-08-06 1819,2023-10-01,2023-10-16,15,"13542-2310011435--32348,-31435-2-9601-2310021450|9601-2310160915--31826,-32348-1-13542-2310161945",1271.07,19.75,15.0,34.75,2,1,3,Emirates,Vistara,Carlton Leisure
140,2023-08-06 1819,2023-10-01,2023-10-16,15,"13542-2310011435--32348,-31435-2-9601-2310021450|9601-2310160335--31939,-32480-1-13542-2310170620",992.25,19.75,31.25,51.0,2,1,3,Emirates,Vistara,Expedia
141,2023-08-06 1819,2023-10-01,2023-10-16,15,"13542-2310011435--32348,-31435-2-9601-2310021450|9601-2310160335--31939-1-13542-2310170645",1035.72,19.75,31.666666666666668,51.41666666666667,2,1,3,Emirates,Vistara,Expedia
22,2023-08-06 1819,2023-10-01,2023-10-16,15,"13542-2310010900--31939,-31435-2-9601-2310020940|9601-2310160915--31826,-32348-1-13542-2310161945",1655.398,20.166666666666668,15.0,35.16666666666667,2,1,3,Qatar Airways,Vistara,Booking.com
20,2023-08-06 1819,2023-10-01,2023-10-16,15,"13542-2310010900--31939,-31435-2-9601-2310020940|9601-2310160335--31939-1-13542-2310170620",807.224,20.166666666666668,31.25,51.41666666666667,2,1,3,Qatar Airways,Vistara,travelup
234,2023-08-06 1819,2023-10-01,2023-10-16,15,"13542-2310012145--32348,-32672-2-9601-2310022225|9601-2310160335--31939-1-13542-2310170645",1121.62,20.166666666666668,31.666666666666668,51.833333333333336,2,1,3,Emirates,Air India,lastminute.com
91,2023-08-06 1819,2023-10-01,2023-10-16,15,"13542-2310011115--32090,-32672-2-9601-2310021200|9601-2310160915--31826,-32348-1-13542-2310161945",1895.398,20.25,15.0,35.25,2,1,3,Lufthansa,Air India,Booking.com
